stone_id,lab,active,reserved,reserved_till,carat,buy_price_per_carat,buy_price_total,shape,color,clarity,cut,polish,symmetry,flu,length,width,height,ratio,depth,table,origin,milky,shade,eye_clean,grading_url,video_url,sku_url,sku_url_2,sku_url_3,country,natural_diamond,estimated_delivery,updated_on
01-08862739,GIA,1,0,0,1.010,4951.61,5001.13,BR,E,VS1,EX,EX,EX,NON,6.4000,6.4300,3.9600,1.00,61.7%,58%,,"No Milky",None,Yes,http://sl.customersapi.local.coolwebcode.com/media/cert/8862739/12089691,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8862739&surl=https://d305ukokfjetib.cloudfront.net/2024/9/4/grabber/imaged/12089691,https://d305ukokfjetib.cloudfront.net/2024/9/4/grabber/imaged/12089691/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/4/grabber/imaged/12089691/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/4/grabber/imaged/12089691/heart.jpg,India,1,"5-7 days",1734568530
01-09738202,GIA,1,0,0,0.420,1694.05,711.50,BR,F,VVS1,EX,EX,EX,NON,4.8600,4.9100,2.9200,0.99,59.7%,59%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9738202&surl=https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535138,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535138/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535138/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535138/heart.jpg,India,1,"5-7 days",1734568530
01-09738208,GIA,1,0,0,0.500,2236.56,1118.28,BR,F,VVS1,EX,EX,EX,NON,5.0900,5.1200,3.1500,0.99,61.6%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9738208&surl=https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535144,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535144/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535144/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/16/grabber/imaged/13535144/heart.jpg,India,1,"5-7 days",1734568531
01-08217668,GIA,1,0,0,0.540,2623.65,1416.77,BR,E,IF,EX,EX,EX,NON,5.2000,5.2200,3.2100,1.00,61.6%,58%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8217668/10837274,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8217668&surl=https://d305ukokfjetib.cloudfront.net/2024/6/10/grabber/imaged/10837274,https://d305ukokfjetib.cloudfront.net/2024/6/10/grabber/imaged/10837274/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/17/grabber/imaged/10837274/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/17/grabber/imaged/10837274/heart.jpg,India,1,"5-7 days",1734568531
01-07974636,GIA,1,0,0,1.000,2935.48,2935.48,BR,H,VS2,EX,EX,EX,NON,6.3500,6.3900,3.9800,0.99,62.5%,59%,,"No Milky",None,Yes,http://sl.customersapi.local.coolwebcode.com/media/cert/7974636/10385199,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=7974636&surl=https://d305ukokfjetib.cloudfront.net/2024/5/8/grabber/imaged/10385199,https://d305ukokfjetib.cloudfront.net/2024/5/8/grabber/imaged/10385199/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/7/18/grabber/imaged/10385199/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/7/18/grabber/imaged/10385199/heart.jpg,India,1,"5-7 days",1734568532
01-09631813,GIA,1,0,0,0.500,1983.88,991.94,BR,F,IF,EX,EX,EX,FNT,5.1300,5.1700,3.1200,0.99,60.5%,60%,Canada,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9631813&surl=https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311817,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311817/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311817/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311817/heart.jpg,India,1,"5-7 days",1734568532
01-07723727,GIA,1,0,0,0.530,1309.34,693.95,BR,H,VS2,EX,EX,EX,NON,5.2200,5.2600,3.2300,0.99,61.6%,57%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/7723727/9870641,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=7723727&surl=https://d305ukokfjetib.cloudfront.net/2024/4/13/grabber/imaged/9870641,https://d305ukokfjetib.cloudfront.net/2024/4/13/grabber/imaged/9870641/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/6/21/grabber/imaged/9870641/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/6/21/grabber/imaged/9870641/heart.jpg,"United States",1,"1-2 days",1734568533
01-08979932,GIA,1,0,0,0.500,2408.6,1204.30,BR,F,IF,EX,EX,EX,NON,5.1300,5.1700,3.1300,0.99,60.8%,59%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8979932/12321580,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8979932&surl=https://d305ukokfjetib.cloudfront.net/2024/9/27/grabber/imaged/12321580,https://d305ukokfjetib.cloudfront.net/2024/9/27/grabber/imaged/12321580/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/28/grabber/imaged/12321580/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/28/grabber/imaged/12321580/heart.jpg,India,1,"5-7 days",1734568533
01-08455490,GIA,1,0,0,0.600,2096.77,1258.06,BR,G,VVS1,EX,EX,EX,NON,5.4300,5.4800,3.3000,0.99,60.5%,60%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8455490/11307196,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8455490&surl=https://d305ukokfjetib.cloudfront.net/2024/7/10/grabber/imaged/11307196,https://d305ukokfjetib.cloudfront.net/2024/7/10/grabber/imaged/11307196/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/23/grabber/imaged/11307196/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/23/grabber/imaged/11307196/heart.jpg,"Hong Kong",1,"10 days",1734568534
01-08455629,GIA,1,0,0,0.730,1747.32,1275.54,BR,G,VS2,EX,EX,EX,NON,5.7400,5.7800,3.6000,0.99,62.6%,56%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8455629/11307422,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8455629&surl=https://d305ukokfjetib.cloudfront.net/2024/7/10/grabber/imaged/11307422,https://d305ukokfjetib.cloudfront.net/2024/7/10/grabber/imaged/11307422/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/11307422/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/11307422/heart.jpg,India,1,"5-7 days",1734568534
01-08726642,GIA,1,0,0,1.000,3220.43,3220.43,BR,H,VVS2,EX,EX,EX,NON,6.5600,6.5800,3.8600,1.00,58.7%,60%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8726642/11819892,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8726642&surl=https://d305ukokfjetib.cloudfront.net/2024/8/14/grabber/imaged/11819892,https://d305ukokfjetib.cloudfront.net/2024/8/14/grabber/imaged/11819892/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/13/grabber/imaged/11819892/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/13/grabber/imaged/11819892/heart.jpg,India,1,"5-7 days",1734568534
01-08217416,GIA,1,0,0,1.000,3196.81,3196.81,BR,H,VS1,EX,EX,EX,NON,6.4000,6.4400,3.9200,0.99,61.1%,58%,,"No Milky",None,Yes,http://sl.customersapi.local.coolwebcode.com/media/cert/8217416/10836161,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8217416&surl=https://d305ukokfjetib.cloudfront.net/2024/6/10/grabber/imaged/10836161,https://d305ukokfjetib.cloudfront.net/2024/6/10/grabber/imaged/10836161/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/6/grabber/imaged/10836161/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/6/grabber/imaged/10836161/heart.jpg,"United States",1,"1-2 days",1734568534
01-08345791,GIA,1,0,0,0.510,1909.57,973.88,BR,G,VVS1,EX,EX,EX,NON,5.1700,5.1900,3.1400,1.00,60.6%,59%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8345791/11112683,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8345791&surl=https://d305ukokfjetib.cloudfront.net/2024/6/26/grabber/imaged/11112683,https://d305ukokfjetib.cloudfront.net/2024/6/26/grabber/imaged/11112683/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/6/26/grabber/imaged/11112683/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/6/26/grabber/imaged/11112683/heart.jpg,"United States",1,"1-2 days",1734568534
01-08912633,GIA,1,0,0,0.870,5446.24,4738.23,BR,E,VVS1,EX,EX,EX,NON,6.0500,6.0900,3.7800,0.99,62.3%,57%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8912633/12195606,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8912633&surl=https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195606,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195606/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195606/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195606/heart.jpg,"Hong Kong",1,"10 days",1734568535
01-09701723,GIA,1,0,0,1.240,6327.96,7846.67,BR,E,VVS2,EX,EX,EX,NON,6.8400,6.8700,4.2700,1.00,62.2%,57%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/9701723/13462109,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9701723&surl=https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462109,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462109/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462109/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462109/heart.jpg,India,1,"5-7 days",1734568535
01-08563565,GIA,1,0,0,0.600,1484.05,890.43,BR,H,VS1,EX,EX,EX,NON,5.3800,5.4100,3.3300,0.99,61.7%,60%,DTC,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8563565&surl=https://d305ukokfjetib.cloudfront.net/2024/7/26/grabber/imaged/11519757,https://d305ukokfjetib.cloudfront.net/2024/7/26/grabber/imaged/11519757/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/11519757/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/11519757/heart.jpg,"United States",1,"1-2 days",1734568535
01-08912636,GIA,1,0,0,0.590,1329.75,784.55,BR,G,VS2,EX,EX,EX,FNT,5.3800,5.4200,3.3500,0.99,62.1%,56%,,"No Milky",None,,http://sl.customersapi.local.coolwebcode.com/media/cert/8912636/12195609,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=8912636&surl=https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195609,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195609/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195609/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/9/11/grabber/imaged/12195609/heart.jpg,"United States",1,"1-2 days",1734568536
01-09701724,GIA,1,0,0,0.740,2032.26,1503.87,BR,H,VS1,EX,EX,EX,NON,5.7300,5.7700,3.5800,0.99,62.2%,59%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9701724&surl=https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/heart.jpg,India,1,"5-7 days",1734568536
01-09715473,GIA,1,0,0,0.700,1650.54,1155.38,BR,H,VS2,EX,EX,EX,NON,5.7100,5.7600,3.5000,0.99,61%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9715473&surl=https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/heart.jpg,India,1,"5-7 days",1734568537
01-09230934,GIA,1,0,0,0.750,2563.83,1922.87,BR,G,IF,EX,EX,EX,NON,5.7600,5.7900,3.6100,0.99,62.6%,57%,DTC,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9230934&surl=https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/arrow.jpg,"United States",1,"1-2 days",1734568537
01-09605905,GIA,1,0,0,0.590,2397.85,1414.73,BR,F,VVS1,EX,EX,EX,NON,5.3700,5.3900,3.2900,1.00,61.1%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9605905&surl=https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/heart.jpg,India,1,"5-7 days",1734568537
01-09052597,GIA,1,0,0,0.700,1962.37,1373.66,BR,E,VS2,EX,EX,EX,NON,5.6300,5.6800,3.5300,0.99,62.3%,57%,,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9052597&surl=https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/heart.jpg,India,1,"5-7 days",1734568537
01-09746784,GIA,1,0,0,0.900,3634.41,3270.97,BR,G,VVS2,EX,EX,EX,NON,6.1100,6.1500,3.8300,0.99,62.5%,57%,Botswana,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746784&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/arrow.jpg,India,1,"5-7 days",1734568537
01-09746781,GIA,1,0,0,0.700,2005.37,1403.76,BR,H,VS1,EX,EX,EX,NON,5.8000,5.8400,3.4700,0.99,59.6%,60%,"South Africa","No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746781&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/arrow.jpg,India,1,"5-7 days",1734568537
01-09746790,GIA,1,0,0,0.560,1516.13,849.03,BR,H,VS1,EX,EX,EX,NON,5.3600,5.4000,3.2400,0.99,60.3%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746790&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/arrow.jpg,India,1,"5-7 days",1734568538
01-09631839,GIA,1,0,0,0.700,1919.36,1343.55,BR,G,VS2,EX,EX,EX,NON,5.6100,5.6600,3.5200,0.99,62.5%,58%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9631839&surl=https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/heart.jpg,India,1,"5-7 days",1734568538

